learning_rate,weight_decay,epochs,betas,ol_activation,cost_function,validation_accuracy,validation_f1_score
0.01,0,30,"(0.9, 0.999)",,cross_entropy,63.437139561707035,0.6269450911921275
0.01,0,30,"(0.9, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0,30,"(0.9, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0,30,"(0.9, 0.999)",softmax,nll_loss,9.803921568627452,0.01750700280112045
0.01,0,30,"(0.5, 0.999)",,cross_entropy,65.28258362168397,0.6496285052288961
0.01,0,30,"(0.5, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0,30,"(0.5, 0.999)",softmax,cross_entropy,9.803921568627452,0.01750700280112045
0.01,0,30,"(0.5, 0.999)",softmax,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0,30,"(0.9, 0.9)",,cross_entropy,64.24452133794695,0.6380753447650515
0.01,0,30,"(0.9, 0.9)",,nll_loss,7.8431372549019605,0.011594202898550725
0.01,0,30,"(0.9, 0.9)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0,30,"(0.9, 0.9)",softmax,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0,50,"(0.9, 0.999)",,cross_entropy,60.09227220299885,0.5949801331978585
0.01,0,50,"(0.9, 0.999)",,nll_loss,8.765859284890427,0.02177624319623427
0.01,0,50,"(0.9, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0,50,"(0.9, 0.999)",softmax,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0,50,"(0.5, 0.999)",,cross_entropy,67.70472895040369,0.6741476510575045
0.01,0,50,"(0.5, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0,50,"(0.5, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0,50,"(0.5, 0.999)",softmax,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0,50,"(0.9, 0.9)",,cross_entropy,64.59054209919262,0.640122167805915
0.01,0,50,"(0.9, 0.9)",,nll_loss,7.8431372549019605,0.011444921316165951
0.01,0,50,"(0.9, 0.9)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0,50,"(0.9, 0.9)",softmax,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0.0001,30,"(0.9, 0.999)",,cross_entropy,64.01384083044982,0.6420853108495848
0.01,0.0001,30,"(0.9, 0.999)",,nll_loss,7.8431372549019605,0.011695906432748536
0.01,0.0001,30,"(0.9, 0.999)",softmax,cross_entropy,4.728950403690888,0.004270638029764899
0.01,0.0001,30,"(0.9, 0.999)",softmax,nll_loss,4.498269896193771,0.0038726826920873524
0.01,0.0001,30,"(0.5, 0.999)",,cross_entropy,62.28373702422145,0.6136695880091931
0.01,0.0001,30,"(0.5, 0.999)",,nll_loss,10.265282583621683,0.034482075658546246
0.01,0.0001,30,"(0.5, 0.999)",softmax,cross_entropy,4.728950403690888,0.004270638029764899
0.01,0.0001,30,"(0.5, 0.999)",softmax,nll_loss,3.690888119953864,0.002627551053137345
0.01,0.0001,30,"(0.9, 0.9)",,cross_entropy,65.28258362168397,0.6471732468730653
0.01,0.0001,30,"(0.9, 0.9)",,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0.0001,30,"(0.9, 0.9)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0.0001,30,"(0.9, 0.9)",softmax,nll_loss,12.341407151095732,0.027669058542597748
0.01,0.0001,50,"(0.9, 0.999)",,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0.0001,50,"(0.9, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0.0001,50,"(0.9, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0.0001,50,"(0.9, 0.999)",softmax,nll_loss,4.498269896193771,0.0038726826920873524
0.01,0.0001,50,"(0.5, 0.999)",,cross_entropy,63.437139561707035,0.6142799264938069
0.01,0.0001,50,"(0.5, 0.999)",,nll_loss,7.8431372549019605,0.011619462599854755
0.01,0.0001,50,"(0.5, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0.0001,50,"(0.5, 0.999)",softmax,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0.0001,50,"(0.9, 0.9)",,cross_entropy,68.16608996539793,0.6872763477231143
0.01,0.0001,50,"(0.9, 0.9)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0.0001,50,"(0.9, 0.9)",softmax,cross_entropy,12.687427912341407,0.030081042695985823
0.01,0.0001,50,"(0.9, 0.9)",softmax,nll_loss,12.57208765859285,0.028352556599416944
0.01,0.001,30,"(0.9, 0.999)",,cross_entropy,58.938869665513266,0.5730168422267774
0.01,0.001,30,"(0.9, 0.999)",,nll_loss,13.264129181084199,0.0563871997030982
0.01,0.001,30,"(0.9, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0.001,30,"(0.9, 0.999)",softmax,nll_loss,4.728950403690888,0.004270638029764899
0.01,0.001,30,"(0.5, 0.999)",,cross_entropy,66.08996539792388,0.6583778670736472
0.01,0.001,30,"(0.5, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0.001,30,"(0.5, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0.001,30,"(0.5, 0.999)",softmax,nll_loss,4.728950403690888,0.004270638029764899
0.01,0.001,30,"(0.9, 0.9)",,cross_entropy,67.24336793540945,0.6647100050041895
0.01,0.001,30,"(0.9, 0.9)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0.001,30,"(0.9, 0.9)",softmax,cross_entropy,12.57208765859285,0.03305567633795897
0.01,0.001,30,"(0.9, 0.9)",softmax,nll_loss,12.57208765859285,0.029923899451472304
0.01,0.001,50,"(0.9, 0.999)",,cross_entropy,63.32179930795848,0.6269394309383114
0.01,0.001,50,"(0.9, 0.999)",,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0.001,50,"(0.9, 0.999)",softmax,cross_entropy,12.57208765859285,0.028663279455371764
0.01,0.001,50,"(0.9, 0.999)",softmax,nll_loss,4.498269896193771,0.0038726826920873524
0.01,0.001,50,"(0.5, 0.999)",,cross_entropy,60.438292964244525,0.583736399683568
0.01,0.001,50,"(0.5, 0.999)",,nll_loss,9.803921568627452,0.017562346329469618
0.01,0.001,50,"(0.5, 0.999)",softmax,cross_entropy,4.728950403690888,0.004270638029764899
0.01,0.001,50,"(0.5, 0.999)",softmax,nll_loss,4.728950403690888,0.004270638029764899
0.01,0.001,50,"(0.9, 0.9)",,cross_entropy,68.62745098039215,0.6786106921518582
0.01,0.001,50,"(0.9, 0.9)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0.001,50,"(0.9, 0.9)",softmax,cross_entropy,13.14878892733564,0.03617683492368074
0.01,0.001,50,"(0.9, 0.9)",softmax,nll_loss,12.918108419838523,0.033854694581338184
0.001,0,30,"(0.9, 0.999)",,cross_entropy,73.01038062283737,0.725615985144695
0.001,0,30,"(0.9, 0.999)",,nll_loss,13.033448673587081,0.056398157308938254
0.001,0,30,"(0.9, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.001,0,30,"(0.9, 0.999)",softmax,nll_loss,4.498269896193771,0.0038726826920873524
0.001,0,30,"(0.5, 0.999)",,cross_entropy,70.4728950403691,0.700998535929211
0.001,0,30,"(0.5, 0.999)",,nll_loss,12.918108419838523,0.04961848711351449
0.001,0,30,"(0.5, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.001,0,30,"(0.5, 0.999)",softmax,nll_loss,26.643598615916954,0.1333199265474651
0.001,0,30,"(0.9, 0.9)",,cross_entropy,73.24106113033449,0.7306096980670731
0.001,0,30,"(0.9, 0.9)",,nll_loss,10.957324106113033,0.035708001499468296
0.001,0,30,"(0.9, 0.9)",softmax,cross_entropy,28.719723183391004,0.17357237476810167
0.001,0,30,"(0.9, 0.9)",softmax,nll_loss,9.803921568627452,0.01750700280112045
0.001,0,50,"(0.9, 0.999)",,cross_entropy,73.12572087658593,0.7271699048114392
0.001,0,50,"(0.9, 0.999)",,nll_loss,7.958477508650519,0.013710458043072993
0.001,0,50,"(0.9, 0.999)",softmax,cross_entropy,40.13840830449827,0.287772258087032
0.001,0,50,"(0.9, 0.999)",softmax,nll_loss,22.952710495963093,0.09658164250970117
0.001,0,50,"(0.5, 0.999)",,cross_entropy,72.43367935409458,0.7132351982418974
0.001,0,50,"(0.5, 0.999)",,nll_loss,9.803921568627452,0.017562346329469618
0.001,0,50,"(0.5, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.001,0,50,"(0.5, 0.999)",softmax,nll_loss,23.18339100346021,0.11306246290709276
0.001,0,50,"(0.9, 0.9)",,cross_entropy,74.8558246828143,0.7464964900597869
0.001,0,50,"(0.9, 0.9)",,nll_loss,10.611303344867359,0.03101665245954626
0.001,0,50,"(0.9, 0.9)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.001,0,50,"(0.9, 0.9)",softmax,nll_loss,23.875432525951556,0.14458057893402765
0.001,0.0001,30,"(0.9, 0.999)",,cross_entropy,74.0484429065744,0.7404379379865677
0.001,0.0001,30,"(0.9, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.001,0.0001,30,"(0.9, 0.999)",softmax,cross_entropy,28.83506343713956,0.18327070706768075
0.001,0.0001,30,"(0.9, 0.999)",softmax,nll_loss,12.802768166089965,0.03464347504361165
0.001,0.0001,30,"(0.5, 0.999)",,cross_entropy,73.35640138408304,0.7290207664929477
0.001,0.0001,30,"(0.5, 0.999)",,nll_loss,7.8431372549019605,0.011632133769538349
0.001,0.0001,30,"(0.5, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.001,0.0001,30,"(0.5, 0.999)",softmax,nll_loss,12.687427912341407,0.03201318261880514
0.001,0.0001,30,"(0.9, 0.9)",,cross_entropy,71.62629757785467,0.7120441094117146
0.001,0.0001,30,"(0.9, 0.9)",,nll_loss,7.8431372549019605,0.01140819964349376
0.001,0.0001,30,"(0.9, 0.9)",softmax,cross_entropy,38.75432525951557,0.281797346115207
0.001,0.0001,30,"(0.9, 0.9)",softmax,nll_loss,34.94809688581315,0.23223642583485854
0.001,0.0001,50,"(0.9, 0.999)",,cross_entropy,74.16378316032295,0.7391900951417033
0.001,0.0001,50,"(0.9, 0.999)",,nll_loss,13.494809688581315,0.05844806325781959
0.001,0.0001,50,"(0.9, 0.999)",softmax,cross_entropy,12.918108419838523,0.0433528277195951
0.001,0.0001,50,"(0.9, 0.999)",softmax,nll_loss,12.341407151095732,0.027265240175596627
0.001,0.0001,50,"(0.5, 0.999)",,cross_entropy,72.66435986159169,0.7233684024820966
0.001,0.0001,50,"(0.5, 0.999)",,nll_loss,7.8431372549019605,0.01140819964349376
0.001,0.0001,50,"(0.5, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.001,0.0001,50,"(0.5, 0.999)",softmax,nll_loss,22.606689734717417,0.1161608708823702
0.001,0.0001,50,"(0.9, 0.9)",,cross_entropy,72.66435986159169,0.7106677596011194
0.001,0.0001,50,"(0.9, 0.9)",,nll_loss,9.803921568627452,0.01750700280112045
0.001,0.0001,50,"(0.9, 0.9)",softmax,cross_entropy,53.748558246828146,0.4624003760834004
0.001,0.0001,50,"(0.9, 0.9)",softmax,nll_loss,13.84083044982699,0.04507135632543145
0.001,0.001,30,"(0.9, 0.999)",,cross_entropy,71.51095732410612,0.71454680208088
0.001,0.001,30,"(0.9, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.001,0.001,30,"(0.9, 0.999)",softmax,cross_entropy,33.56401384083045,0.2035993369351811
0.001,0.001,30,"(0.9, 0.999)",softmax,nll_loss,18.33910034602076,0.059604955259123356
0.001,0.001,30,"(0.5, 0.999)",,cross_entropy,73.12572087658593,0.7225499493908047
0.001,0.001,30,"(0.5, 0.999)",,nll_loss,7.958477508650519,0.013596428688947145
0.001,0.001,30,"(0.5, 0.999)",softmax,cross_entropy,22.722029988465973,0.1097364300261713
0.001,0.001,30,"(0.5, 0.999)",softmax,nll_loss,13.033448673587081,0.03466235184178667
0.001,0.001,30,"(0.9, 0.9)",,cross_entropy,71.39561707035756,0.7094116583878307
0.001,0.001,30,"(0.9, 0.9)",,nll_loss,9.803921568627452,0.01752541184717841
0.001,0.001,30,"(0.9, 0.9)",softmax,cross_entropy,13.033448673587081,0.03200025676452248
0.001,0.001,30,"(0.9, 0.9)",softmax,nll_loss,24.682814302191463,0.1744915602855675
0.001,0.001,50,"(0.9, 0.999)",,cross_entropy,73.24106113033449,0.7297319360713675
0.001,0.001,50,"(0.9, 0.999)",,nll_loss,11.995386389850058,0.0450628474082423
0.001,0.001,50,"(0.9, 0.999)",softmax,cross_entropy,31.372549019607842,0.20276722944555375
0.001,0.001,50,"(0.9, 0.999)",softmax,nll_loss,12.57208765859285,0.028404888454700995
0.001,0.001,50,"(0.5, 0.999)",,cross_entropy,70.93425605536332,0.7127761407911429
0.001,0.001,50,"(0.5, 0.999)",,nll_loss,10.726643598615917,0.03606245535789013
0.001,0.001,50,"(0.5, 0.999)",softmax,cross_entropy,32.75663206459054,0.21886152793518485
0.001,0.001,50,"(0.5, 0.999)",softmax,nll_loss,12.802768166089965,0.032290770212362076
0.001,0.001,50,"(0.9, 0.9)",,cross_entropy,71.85697808535178,0.7140401356185024
0.001,0.001,50,"(0.9, 0.9)",,nll_loss,9.803921568627452,0.01750700280112045
0.001,0.001,50,"(0.9, 0.9)",softmax,cross_entropy,12.918108419838523,0.039883606101593756
0.001,0.001,50,"(0.9, 0.9)",softmax,nll_loss,12.918108419838523,0.03286291687319718
0.0001,0,30,"(0.9, 0.999)",,cross_entropy,69.78085351787774,0.6848536723380064
0.0001,0,30,"(0.9, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.0001,0,30,"(0.9, 0.999)",softmax,cross_entropy,26.29757785467128,0.1420797573438268
0.0001,0,30,"(0.9, 0.999)",softmax,nll_loss,22.722029988465973,0.09987334223163165
0.0001,0,30,"(0.5, 0.999)",,cross_entropy,71.62629757785467,0.7022192723998423
0.0001,0,30,"(0.5, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.0001,0,30,"(0.5, 0.999)",softmax,cross_entropy,22.952710495963093,0.11830967758885093
0.0001,0,30,"(0.5, 0.999)",softmax,nll_loss,22.491349480968857,0.11871398891921402
0.0001,0,30,"(0.9, 0.9)",,cross_entropy,71.39561707035756,0.703152814943742
0.0001,0,30,"(0.9, 0.9)",,nll_loss,7.8431372549019605,0.01140819964349376
0.0001,0,30,"(0.9, 0.9)",softmax,cross_entropy,26.29757785467128,0.13095880130964604
0.0001,0,30,"(0.9, 0.9)",softmax,nll_loss,22.722029988465973,0.10491149734129727
0.0001,0,50,"(0.9, 0.999)",,cross_entropy,71.39561707035756,0.713111695499674
0.0001,0,50,"(0.9, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.0001,0,50,"(0.9, 0.999)",softmax,cross_entropy,22.606689734717417,0.11310777306044012
0.0001,0,50,"(0.9, 0.999)",softmax,nll_loss,22.606689734717417,0.11784792398176909
0.0001,0,50,"(0.5, 0.999)",,cross_entropy,70.35755478662053,0.6948788301735686
0.0001,0,50,"(0.5, 0.999)",,nll_loss,7.8431372549019605,0.011581614187477381
0.0001,0,50,"(0.5, 0.999)",softmax,cross_entropy,26.412918108419838,0.12737393787499163
0.0001,0,50,"(0.5, 0.999)",softmax,nll_loss,22.491349480968857,0.12291213900151876
0.0001,0,50,"(0.9, 0.9)",,cross_entropy,70.4728950403691,0.6897529919819176
0.0001,0,50,"(0.9, 0.9)",,nll_loss,12.802768166089965,0.05736034484649724
0.0001,0,50,"(0.9, 0.9)",softmax,cross_entropy,22.952710495963093,0.13418165060044776
0.0001,0,50,"(0.9, 0.9)",softmax,nll_loss,22.952710495963093,0.11005983339285284
0.0001,0.0001,30,"(0.9, 0.999)",,cross_entropy,70.93425605536332,0.6916697212342695
0.0001,0.0001,30,"(0.9, 0.999)",,nll_loss,7.8431372549019605,0.01140819964349376
0.0001,0.0001,30,"(0.9, 0.999)",softmax,cross_entropy,22.606689734717417,0.11749272881610429
0.0001,0.0001,30,"(0.9, 0.999)",softmax,nll_loss,22.606689734717417,0.10907642914563331
0.0001,0.0001,30,"(0.5, 0.999)",,cross_entropy,71.280276816609,0.7122092813097706
0.0001,0.0001,30,"(0.5, 0.999)",,nll_loss,7.8431372549019605,0.01140819964349376
0.0001,0.0001,30,"(0.5, 0.999)",softmax,cross_entropy,22.952710495963093,0.11821325550540937
0.0001,0.0001,30,"(0.5, 0.999)",softmax,nll_loss,22.952710495963093,0.10946239860305398
0.0001,0.0001,30,"(0.9, 0.9)",,cross_entropy,72.20299884659747,0.7142046292700663
0.0001,0.0001,30,"(0.9, 0.9)",,nll_loss,7.958477508650519,0.01364818328765198
0.0001,0.0001,30,"(0.9, 0.9)",softmax,cross_entropy,26.182237600922722,0.13045387180343898
0.0001,0.0001,30,"(0.9, 0.9)",softmax,nll_loss,22.952710495963093,0.10493958735253583
0.0001,0.0001,50,"(0.9, 0.999)",,cross_entropy,70.01153402537486,0.6931814919822499
0.0001,0.0001,50,"(0.9, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.0001,0.0001,50,"(0.9, 0.999)",softmax,cross_entropy,23.875432525951556,0.12123001117939962
0.0001,0.0001,50,"(0.9, 0.999)",softmax,nll_loss,22.491349480968857,0.12155355047630789
0.0001,0.0001,50,"(0.5, 0.999)",,cross_entropy,69.55017301038062,0.6780987490097603
0.0001,0.0001,50,"(0.5, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.0001,0.0001,50,"(0.5, 0.999)",softmax,cross_entropy,22.837370242214533,0.11530480268099287
0.0001,0.0001,50,"(0.5, 0.999)",softmax,nll_loss,22.491349480968857,0.11541658581519183
0.0001,0.0001,50,"(0.9, 0.9)",,cross_entropy,71.280276816609,0.706362291286468
0.0001,0.0001,50,"(0.9, 0.9)",,nll_loss,13.14878892733564,0.05797289850362436
0.0001,0.0001,50,"(0.9, 0.9)",softmax,cross_entropy,26.29757785467128,0.14382909199554517
0.0001,0.0001,50,"(0.9, 0.9)",softmax,nll_loss,22.837370242214533,0.1008582176708344
0.0001,0.001,30,"(0.9, 0.999)",,cross_entropy,70.4728950403691,0.6876406542858214
0.0001,0.001,30,"(0.9, 0.999)",,nll_loss,7.8431372549019605,0.01140819964349376
0.0001,0.001,30,"(0.9, 0.999)",softmax,cross_entropy,23.06805074971165,0.10431110644846417
0.0001,0.001,30,"(0.9, 0.999)",softmax,nll_loss,22.722029988465973,0.10863254940793188
0.0001,0.001,30,"(0.5, 0.999)",,cross_entropy,69.55017301038062,0.6907474454658183
0.0001,0.001,30,"(0.5, 0.999)",,nll_loss,9.91926182237601,0.019784756007666222
0.0001,0.001,30,"(0.5, 0.999)",softmax,cross_entropy,22.722029988465973,0.09893373554473027
0.0001,0.001,30,"(0.5, 0.999)",softmax,nll_loss,22.606689734717417,0.10330259455691508
0.0001,0.001,30,"(0.9, 0.9)",,cross_entropy,70.81891580161476,0.6970792651177872
0.0001,0.001,30,"(0.9, 0.9)",,nll_loss,7.8431372549019605,0.01140819964349376
0.0001,0.001,30,"(0.9, 0.9)",softmax,cross_entropy,23.06805074971165,0.1148452180039063
0.0001,0.001,30,"(0.9, 0.9)",softmax,nll_loss,22.837370242214533,0.10925674807276801
0.0001,0.001,50,"(0.9, 0.999)",,cross_entropy,72.20299884659747,0.7163334149794387
0.0001,0.001,50,"(0.9, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.0001,0.001,50,"(0.9, 0.999)",softmax,cross_entropy,22.722029988465973,0.10286830069479391
0.0001,0.001,50,"(0.9, 0.999)",softmax,nll_loss,22.3760092272203,0.10613819168779531
0.0001,0.001,50,"(0.5, 0.999)",,cross_entropy,70.70357554786621,0.7062254651160244
0.0001,0.001,50,"(0.5, 0.999)",,nll_loss,7.958477508650519,0.013518089848078806
0.0001,0.001,50,"(0.5, 0.999)",softmax,cross_entropy,22.606689734717417,0.11630359569559771
0.0001,0.001,50,"(0.5, 0.999)",softmax,nll_loss,22.722029988465973,0.10185824909633123
0.0001,0.001,50,"(0.9, 0.9)",,cross_entropy,73.58708189158016,0.7306735028362763
0.0001,0.001,50,"(0.9, 0.9)",,nll_loss,7.958477508650519,0.013596428688947145
0.0001,0.001,50,"(0.9, 0.9)",softmax,cross_entropy,22.837370242214533,0.10932829185831676
0.0001,0.001,50,"(0.9, 0.9)",softmax,nll_loss,22.491349480968857,0.1005485661897709
