problem_file,selection_method,crossover_method,mutation_method,elitism,diversity_injection,final_best_fitness_error,convergence_rate,time_taken
ulysses22,tournament,pmx,swap,1,1,12.624174152763914,0.1122222222222222,2.29457680384318
ulysses22,tournament,pmx,swap,1,0,21.212985408051715,0.1165555555555555,2.3312673568725586
ulysses22,tournament,pmx,swap,0,1,5.328200009506155,0.1034444444444444,2.1091414292653403
ulysses22,tournament,pmx,swap,0,0,11.236275488378723,0.1103333333333333,2.2423719565073648
ulysses22,tournament,pmx,inversion,1,1,1.9440087456628163,0.1135555555555555,2.2700632413228354
ulysses22,tournament,pmx,inversion,1,0,2.3290080327011737,0.1108888888888888,2.2080374558766684
ulysses22,tournament,pmx,inversion,0,1,1.7111079423926991,0.1418888888888888,2.881972551345825
ulysses22,tournament,pmx,inversion,0,0,2.6379580778554117,0.1274444444444444,2.5918265183766684
ulysses22,tournament,pmx,scramble,1,1,13.042444983126572,0.1152222222222222,2.295680522918701
ulysses22,tournament,pmx,scramble,1,0,6.578259422976377,0.1028888888888888,2.0523641109466557
ulysses22,tournament,pmx,scramble,0,1,17.32496791672608,0.1173333333333333,2.4145050048828125
ulysses22,tournament,pmx,scramble,0,0,14.492133656542611,0.1437777777777777,2.9517621994018555
ulysses22,tournament,order,swap,1,1,3.740672085175151,0.1192222222222222,2.4477012157440186
ulysses22,tournament,order,swap,1,0,3.959313655591996,0.1116666666666666,2.3059579531351724
ulysses22,tournament,order,swap,0,1,2.557155758353534,0.0945555555555555,1.9769856135050456
ulysses22,tournament,order,swap,0,0,4.639003754931317,0.1073333333333333,2.254103660583496
ulysses22,tournament,order,inversion,1,1,1.3546271210608871,0.1104444444444444,2.261120557785034
ulysses22,tournament,order,inversion,1,0,1.288084034412282,0.1046666666666666,2.124204238255819
ulysses22,tournament,order,inversion,0,1,1.2167878701459196,0.1034444444444444,2.142030636469523
ulysses22,tournament,order,inversion,0,0,1.844194115689909,0.1125555555555555,2.3280858198801675
ulysses22,tournament,order,scramble,1,1,5.77498930557536,0.0898888888888889,1.8466614087422688
ulysses22,tournament,order,scramble,1,0,5.14758306003137,0.0978888888888888,1.9961043993632
ulysses22,tournament,order,scramble,0,1,6.026902419316507,0.0887777777777777,1.85326353708903
ulysses22,tournament,order,scramble,0,0,7.804553448357812,0.1405555555555555,2.930974006652832
ulysses22,rank,pmx,swap,1,1,4.738818384904225,0.1063333333333333,2.1169604460398355
ulysses22,rank,pmx,swap,1,0,5.275916155710823,0.1085555555555555,2.1531843344370523
ulysses22,rank,pmx,swap,0,1,14.268739008508009,0.1028888888888888,2.10403823852539
ulysses22,rank,pmx,swap,0,0,9.42059983839536,0.0987777777777777,2.011983156204224
ulysses22,rank,pmx,inversion,1,1,1.4164171300917343,0.1228888888888889,2.449328660964966
ulysses22,rank,pmx,inversion,1,0,1.915490279956272,0.142,2.829554796218872
ulysses22,rank,pmx,inversion,0,1,2.471600361233899,0.1254444444444444,2.559907992680868
ulysses22,rank,pmx,inversion,0,0,1.9820333666048768,0.0972222222222222,2.0082600116729736
ulysses22,rank,pmx,scramble,1,1,17.106326346309235,0.144,2.88810396194458
ulysses22,rank,pmx,scramble,1,0,19.558914397072105,0.1985555555555555,3.951529741287232
ulysses22,rank,pmx,scramble,0,1,14.520652122249157,0.156,3.184819459915161
ulysses22,rank,pmx,scramble,0,0,15.818242311896952,0.1278888888888888,2.6001899242401123
ulysses22,rank,order,swap,1,1,9.1591805694187,0.1128888888888888,2.2829693953196206
ulysses22,rank,order,swap,1,0,9.244735966538334,0.125,2.530368169148763
ulysses22,rank,order,swap,0,1,6.255050144968867,0.0987777777777777,2.0572256247202554
ulysses22,rank,order,swap,0,0,2.8993773468320736,0.2078888888888889,4.281798839569092
ulysses22,rank,order,inversion,1,1,1.9249964351917868,0.1411111111111111,2.863930940628052
ulysses22,rank,order,inversion,1,0,1.482960216740339,0.1057777777777777,2.151829560597738
ulysses22,rank,order,inversion,0,1,1.0124055325823471,0.1067777777777777,2.2278242905934653
ulysses22,rank,order,inversion,0,0,2.3432672655544464,0.101,2.0960365931193032
ulysses22,rank,order,scramble,1,1,4.781596083464042,0.1683333333333333,3.4215537707010903
ulysses22,rank,order,scramble,1,0,7.343504919435335,0.1717777777777777,3.498064120610555
ulysses22,rank,order,scramble,0,1,7.861590379770902,0.1234444444444444,2.5748327573140464
ulysses22,rank,order,scramble,0,0,5.4090023290080325,0.1121111111111111,2.3368935585021973
gr48,tournament,pmx,swap,1,1,41.02919804465584,0.2867777777777778,7.267428716023763
gr48,tournament,pmx,swap,1,0,47.971991015986255,0.3842222222222222,9.70889695485433
gr48,tournament,pmx,swap,0,1,41.70299907517506,0.2735555555555555,7.063512325286865
gr48,tournament,pmx,swap,0,0,40.1968555951909,0.2736666666666666,7.053378025690715
gr48,tournament,pmx,inversion,1,1,8.052582903950324,0.2873333333333333,7.28220534324646
gr48,tournament,pmx,inversion,1,0,8.211124322896023,0.3121111111111111,7.889877716700236
gr48,tournament,pmx,inversion,0,1,8.528207160787423,0.3315555555555555,8.578157742818197
gr48,tournament,pmx,inversion,0,0,8.74620161183776,0.2578888888888889,6.66459862391154
gr48,tournament,pmx,scramble,1,1,92.58818866428857,0.2471111111111111,6.254178285598755
gr48,tournament,pmx,scramble,1,0,89.45699564011097,0.2505555555555556,6.34567403793335
gr48,tournament,pmx,scramble,0,1,83.26727440877262,0.2236666666666666,5.80089537302653
gr48,tournament,pmx,scramble,0,0,71.60787422380763,0.2681111111111111,6.962931950887044
gr48,tournament,order,swap,1,1,26.575505350772897,0.2301111111111111,6.340824604034424
gr48,tournament,order,swap,1,0,22.32131060906329,0.2789999999999999,7.683717091878255
gr48,tournament,order,swap,0,1,28.385519883736293,0.2756666666666666,7.806366205215454
gr48,tournament,order,swap,0,0,21.40309155766944,0.3068888888888888,8.670291821161905
gr48,tournament,order,inversion,1,1,2.840533756110451,0.2498888888888889,6.9051133791605634
gr48,tournament,order,inversion,1,0,3.831417624521072,0.3172222222222222,8.76219137509664
gr48,tournament,order,inversion,0,1,7.088122605363985,0.2738888888888889,7.761274417241414
gr48,tournament,order,inversion,0,0,5.278108072400582,0.3231111111111111,9.141990661621094
gr48,tournament,order,scramble,1,1,54.78927203065134,0.23,6.373809019724528
gr48,tournament,order,scramble,1,0,34.667723609459635,0.1996666666666666,5.530643542607625
gr48,tournament,order,scramble,0,1,38.5453824811732,0.2092222222222222,5.94679323832194
gr48,tournament,order,scramble,0,0,36.08799048751487,0.2095555555555555,5.955743074417114
gr48,rank,pmx,swap,1,1,47.086801426872775,0.3162222222222222,8.000223159790039
gr48,rank,pmx,swap,1,0,38.03012286959968,0.3552222222222221,8.952876249949137
gr48,rank,pmx,swap,0,1,37.62716342977936,0.3246666666666667,8.403714259465536
gr48,rank,pmx,swap,0,0,44.29250891795482,0.2982222222222222,7.710647106170654
gr48,rank,pmx,inversion,1,1,6.4407451446690445,0.2868888888888889,7.24134087562561
gr48,rank,pmx,inversion,1,0,9.08970801955344,0.254,6.392848412195842
gr48,rank,pmx,inversion,0,1,6.242568370986921,0.2748888888888889,7.094669580459595
gr48,rank,pmx,inversion,0,0,4.6769718588981375,0.2904444444444444,7.5128185749053955
gr48,rank,pmx,scramble,1,1,64.20927467300832,0.4472222222222222,11.321134487787882
gr48,rank,pmx,scramble,1,0,84.17228167525433,0.2203333333333333,5.575889746348064
gr48,rank,pmx,scramble,0,1,90.93671555027085,0.3261111111111111,8.434393008550009
gr48,rank,pmx,scramble,0,0,84.86590038314175,0.2672222222222222,6.9182688395182295
gr48,rank,order,swap,1,1,34.13264632051791,0.4217777777777778,11.641699155171713
gr48,rank,order,swap,1,0,27.71832474567314,0.2388888888888889,6.572576522827148
gr48,rank,order,swap,0,1,35.34813053243493,0.3387777777777778,9.56377903620402
gr48,rank,order,swap,0,0,35.17637732857709,0.2578888888888889,7.262601852416992
gr48,rank,order,inversion,1,1,6.956004756242568,0.2917777777777777,8.060408115386963
gr48,rank,order,inversion,1,0,2.83392786365438,0.2557777777777777,7.056531985600789
gr48,rank,order,inversion,0,1,4.577883472057075,0.2197777777777777,6.204476912816365
gr48,rank,order,inversion,0,0,6.922975293962215,0.2853333333333334,8.03071928024292
gr48,rank,order,scramble,1,1,35.843572466640246,0.2911111111111111,8.053892612457275
gr48,rank,order,scramble,1,0,48.55330955212049,0.2728888888888889,7.5389736493428545
gr48,rank,order,scramble,0,1,32.910556216144805,0.2983333333333333,8.450349807739258
gr48,rank,order,scramble,0,0,41.63033425815828,0.2589999999999999,7.325641632080078
berlin52,tournament,pmx,swap,1,1,33.59409528860603,0.3593333333333333,11.089195171991983
berlin52,tournament,pmx,swap,1,0,33.57641651197737,0.4776666666666667,14.700767517089844
berlin52,tournament,pmx,swap,0,1,39.84796252099355,0.3984444444444444,12.5930757522583
berlin52,tournament,pmx,swap,0,0,33.103509237160786,0.4466666666666666,14.062202294667562
berlin52,tournament,pmx,inversion,1,1,9.882436135419429,0.3195555555555555,9.842857758204142
berlin52,tournament,pmx,inversion,1,0,9.824980111376291,0.2886666666666667,8.944203615188599
berlin52,tournament,pmx,inversion,0,1,7.831698046495181,0.2753333333333333,8.715476989746094
berlin52,tournament,pmx,inversion,0,0,8.848227702642978,0.4162222222222222,13.165443658828735
berlin52,tournament,pmx,scramble,1,1,92.47768054450631,0.2662222222222222,8.266085147857666
berlin52,tournament,pmx,scramble,1,0,69.95049942543976,0.3621111111111111,11.17766539255778
berlin52,tournament,pmx,scramble,0,1,95.18253336869088,0.3217777777777778,10.209752321243286
berlin52,tournament,pmx,scramble,0,0,68.51851851851852,0.4522222222222222,14.310718774795532
berlin52,tournament,order,swap,1,1,26.381154424113856,0.3584444444444445,11.979830741882324
berlin52,tournament,order,swap,1,0,28.931317952797663,0.2506666666666666,8.433491150538126
berlin52,tournament,order,swap,0,1,22.27083885795103,0.2385555555555555,8.22036329905192
berlin52,tournament,order,swap,0,0,20.79908070361531,0.3567777777777778,12.1962362130483
berlin52,tournament,order,inversion,1,1,11.79174401131442,0.2444444444444444,8.21763817469279
berlin52,tournament,order,inversion,1,0,9.038274551401043,0.241,8.093576113382975
berlin52,tournament,order,inversion,0,1,7.999646424467426,0.34,11.721781094868978
berlin52,tournament,order,inversion,0,0,11.89781667108636,0.2977777777777777,10.247727473576864
berlin52,tournament,order,scramble,1,1,40.1264032528949,0.2288888888888889,7.66868789990743
berlin52,tournament,order,scramble,1,0,43.65773888446919,0.2696666666666666,9.052396933237713
berlin52,tournament,order,scramble,0,1,44.53725802174489,0.2125555555555555,7.320779323577881
berlin52,tournament,order,scramble,0,0,45.86758596305136,0.2228888888888889,7.700242439905803
berlin52,rank,pmx,swap,1,1,40.3739061256961,0.3822222222222222,11.833091179529823
berlin52,rank,pmx,swap,1,0,43.52072836559711,0.3836666666666666,11.852555990219116
berlin52,rank,pmx,swap,0,1,38.91098735967472,0.3677777777777777,11.61893113454183
berlin52,rank,pmx,swap,0,0,35.47688499955803,0.3858888888888889,12.185751597086588
berlin52,rank,pmx,inversion,1,1,12.048086272429948,0.319,9.906638542811075
berlin52,rank,pmx,inversion,1,0,9.559798461946434,0.3551111111111111,10.92469573020935
berlin52,rank,pmx,inversion,0,1,8.62724299478476,0.3342222222222222,10.581855217615765
berlin52,rank,pmx,inversion,0,0,9.082471492972688,0.3133333333333333,9.919037342071531
berlin52,rank,pmx,scramble,1,1,83.16538495536109,0.267,8.2820352713267
berlin52,rank,pmx,scramble,1,0,86.27242994784761,0.4048888888888888,12.58677331606547
berlin52,rank,pmx,scramble,0,1,94.63449129320252,0.3118888888888889,9.932895024617514
berlin52,rank,pmx,scramble,0,0,85.38407142225758,0.33,10.4457585811615
berlin52,rank,order,swap,1,1,23.75143640060108,0.425,14.21459706624349
berlin52,rank,order,swap,1,0,23.972421108459297,0.4063333333333334,13.566789150238035
berlin52,rank,order,swap,0,1,24.706090338548574,0.3708888888888889,12.71846079826355
berlin52,rank,order,swap,0,0,33.18748342614691,0.2732222222222222,9.373098850250244
berlin52,rank,order,inversion,1,1,10.231591973835412,0.28,9.387046416600546
berlin52,rank,order,inversion,1,0,13.055776540263414,0.2587777777777778,8.644582907358805
berlin52,rank,order,inversion,0,1,11.318836736497836,0.2693333333333332,9.25648578008016
berlin52,rank,order,inversion,0,0,11.287898877397684,0.2613333333333333,8.971106688181559
berlin52,rank,order,scramble,1,1,58.69353840714223,0.3961111111111111,13.343193610509235
berlin52,rank,order,scramble,1,0,49.83205162202776,0.4102222222222222,13.784426848093668
berlin52,rank,order,scramble,0,1,41.99593388137541,0.4896666666666666,16.879287163416546
berlin52,rank,order,scramble,0,0,57.40740740740741,0.3283333333333333,11.288989623387655
brazil58,tournament,pmx,swap,1,1,51.3670670079412,0.4747777777777778,15.39475162823995
brazil58,tournament,pmx,swap,1,0,38.495766883244734,0.5107777777777778,16.533087491989136
brazil58,tournament,pmx,swap,0,1,44.04016538688719,0.5146666666666667,17.09885509808858
brazil58,tournament,pmx,swap,0,0,46.04580954256088,0.4327777777777777,14.353569269180298
brazil58,tournament,pmx,inversion,1,1,3.5400669423114786,0.3977777777777778,12.948352893193563
brazil58,tournament,pmx,inversion,1,0,4.6255824637395815,0.2926666666666667,9.491830825805664
brazil58,tournament,pmx,inversion,0,1,4.859224256743454,0.3343333333333333,11.150748411814371
brazil58,tournament,pmx,inversion,0,0,4.111045481393974,0.4637777777777778,15.528106848398844
brazil58,tournament,pmx,scramble,1,1,113.96994158955177,0.3584444444444445,11.694877465566
brazil58,tournament,pmx,scramble,1,0,104.5704535013454,0.2655555555555555,8.667523384094238
brazil58,tournament,pmx,scramble,0,1,94.33353022248474,0.4348888888888889,14.54189642270406
brazil58,tournament,pmx,scramble,0,0,113.70085974929448,0.3083333333333333,10.324687242507936
brazil58,tournament,order,swap,1,1,36.553127256021526,0.3317777777777778,11.90332531929016
brazil58,tournament,order,swap,1,0,29.474305965741284,0.3839999999999999,13.74316922823588
brazil58,tournament,order,swap,0,1,29.63575506989565,0.3712222222222222,13.650749762852987
brazil58,tournament,order,swap,0,0,20.28220778368445,0.354,12.986339728037516
brazil58,tournament,order,inversion,1,1,4.538951237120168,0.377,13.551360925038656
brazil58,tournament,order,inversion,1,0,5.067926757235676,0.3223333333333333,11.570954958597818
brazil58,tournament,order,inversion,0,1,4.752904114983264,0.4414444444444445,16.26226552327474
brazil58,tournament,order,inversion,0,0,4.836910152917241,0.3971111111111111,14.612728198369345
brazil58,tournament,order,scramble,1,1,76.36148848198464,0.3184444444444445,11.435124715169271
brazil58,tournament,order,scramble,1,0,50.81446478965676,0.3244444444444445,11.628348032633465
brazil58,tournament,order,scramble,0,1,44.04410316991533,0.3905555555555555,14.385739088058472
brazil58,tournament,order,scramble,0,0,39.41589551749032,0.3194444444444445,11.715977589289349
brazil58,rank,pmx,swap,1,1,47.41747063070159,0.4681111111111111,15.184058030446373
brazil58,rank,pmx,swap,1,0,43.61619741418915,0.3761111111111111,12.197312513987224
brazil58,rank,pmx,swap,0,1,41.68143335302224,0.599,19.94136397043864
brazil58,rank,pmx,swap,0,0,43.10428562052897,0.3645555555555556,12.115740617116291
brazil58,rank,pmx,inversion,1,1,4.223928594867756,0.359,11.75975505510966
brazil58,rank,pmx,inversion,1,0,3.8091487825687462,0.37,12.028311729431152
brazil58,rank,pmx,inversion,0,1,7.28096081905887,0.3371111111111111,11.218222459157309
brazil58,rank,pmx,inversion,0,0,3.0478440637920854,0.3146666666666667,10.475731452306112
brazil58,rank,pmx,scramble,1,1,94.90057097853908,0.4803333333333333,15.702941179275513
brazil58,rank,pmx,scramble,1,0,99.71779221631554,0.4458888888888889,14.543545722961426
brazil58,rank,pmx,scramble,0,1,117.8434074949137,0.3507777777777778,11.729875961939491
brazil58,rank,pmx,scramble,0,0,82.98877731836976,0.4961111111111111,16.60456657409668
brazil58,rank,order,swap,1,1,25.485331758220124,0.5094444444444445,18.18576391537984
brazil58,rank,order,swap,1,0,25.40920128634245,0.4924444444444444,17.586339712142944
brazil58,rank,order,swap,0,1,37.61632867362341,0.3814444444444445,13.974352757136026
brazil58,rank,order,swap,0,0,39.19012929054276,0.4388888888888889,16.056006908416748
brazil58,rank,order,inversion,1,1,4.137297368248343,0.347,12.451128482818604
brazil58,rank,order,inversion,1,0,3.596508499048369,0.3967777777777777,14.19567084312439
brazil58,rank,order,inversion,0,1,5.94211458948612,0.3851111111111111,14.16177487373352
brazil58,rank,order,inversion,0,0,5.1545579838550895,0.3294444444444444,12.124557654062906
brazil58,rank,order,scramble,1,1,42.48999146813677,0.4616666666666666,16.583026091257732
brazil58,rank,order,scramble,1,0,58.32119183566319,0.3799999999999999,13.635536511739096
brazil58,rank,order,scramble,0,1,37.10047909693509,0.6193333333333334,22.80560000737508
brazil58,rank,order,scramble,0,0,48.558115114523865,0.3402222222222222,12.580029726028442
st70,tournament,pmx,swap,1,1,57.62962962962964,0.6742222222222223,27.44661871592204
st70,tournament,pmx,swap,1,0,65.77777777777779,0.485,19.79727514584859
st70,tournament,pmx,swap,0,1,64.0,0.6137777777777779,25.73951816558838
st70,tournament,pmx,swap,0,0,67.1111111111111,0.6025555555555556,25.135537068049118
st70,tournament,pmx,inversion,1,1,13.23456790123457,0.3802222222222222,15.60851033528646
st70,tournament,pmx,inversion,1,0,8.395061728395062,0.527,21.487287203470867
st70,tournament,pmx,inversion,0,1,12.839506172839506,0.4889999999999999,20.54268805185954
st70,tournament,pmx,inversion,0,0,10.666666666666666,0.434,18.152305364608765
st70,tournament,pmx,scramble,1,1,142.6172839506173,0.5152222222222224,21.25322349866231
st70,tournament,pmx,scramble,1,0,187.20987654320984,0.3306666666666666,13.619789679845177
st70,tournament,pmx,scramble,0,1,117.62962962962962,0.3648888888888889,15.470221916834513
st70,tournament,pmx,scramble,0,0,136.2962962962963,0.3628888888888888,15.2622119585673
st70,tournament,order,swap,1,1,50.913580246913575,0.3887777777777778,17.665449778238933
st70,tournament,order,swap,1,0,44.14814814814815,0.4028888888888889,18.30620805422465
st70,tournament,order,swap,0,1,42.17283950617284,0.5102222222222222,23.818434317906696
st70,tournament,order,swap,0,0,37.97530864197531,0.427,19.84423462549845
st70,tournament,order,inversion,1,1,7.506172839506173,0.3913333333333333,17.856568733851116
st70,tournament,order,inversion,1,0,9.382716049382717,0.4045555555555555,18.419692277908325
st70,tournament,order,inversion,0,1,9.4320987654321,0.5075555555555554,23.69019881884257
st70,tournament,order,inversion,0,0,11.901234567901234,0.4805555555555555,22.408442815144856
st70,tournament,order,scramble,1,1,60.14814814814815,0.3511111111111111,16.076338688532513
st70,tournament,order,scramble,1,0,71.45679012345678,0.4108888888888889,18.730281829833984
st70,tournament,order,scramble,0,1,56.197530864197525,0.4432222222222222,20.90882213910421
st70,tournament,order,scramble,0,0,58.41975308641975,0.4341111111111111,20.33881425857544
st70,rank,pmx,swap,1,1,69.67901234567901,0.4042222222222222,16.563061634699505
st70,rank,pmx,swap,1,0,75.70370370370371,0.5978888888888889,24.471589883168537
st70,rank,pmx,swap,0,1,72.5432098765432,0.4314444444444444,18.16536680857341
st70,rank,pmx,swap,0,0,75.50617283950618,0.4577777777777778,19.238213698069256
st70,rank,pmx,inversion,1,1,11.555555555555555,0.45,18.501031398773197
st70,rank,pmx,inversion,1,0,8.543209876543209,0.4356666666666667,17.82867892583211
st70,rank,pmx,inversion,0,1,8.34567901234568,0.4813333333333333,20.17670718828837
st70,rank,pmx,inversion,0,0,8.88888888888889,0.4635555555555555,19.472331126530964
st70,rank,pmx,scramble,1,1,135.30864197530863,0.6356666666666667,26.2684801419576
st70,rank,pmx,scramble,1,0,143.80246913580245,0.439,18.15668471654256
st70,rank,pmx,scramble,0,1,135.60493827160494,0.4213333333333333,17.885440349578857
st70,rank,pmx,scramble,0,0,135.9506172839506,0.4621111111111111,19.577113310496014
st70,rank,order,swap,1,1,51.95061728395061,0.5125555555555555,23.298635959625244
st70,rank,order,swap,1,0,50.51851851851851,0.6646666666666666,30.102854649225872
st70,rank,order,swap,0,1,47.4074074074074,0.4422222222222222,20.613086303075157
st70,rank,order,swap,0,0,46.51851851851851,0.5461111111111111,25.297063906987507
st70,rank,order,inversion,1,1,6.962962962962963,0.503,22.793344020843502
st70,rank,order,inversion,1,0,7.901234567901235,0.4435555555555555,20.062421480814617
st70,rank,order,inversion,0,1,9.234567901234568,0.391,18.11917010943095
st70,rank,order,inversion,0,0,6.222222222222222,0.4574444444444444,21.198719024658203
st70,rank,order,scramble,1,1,103.90123456790124,0.4591111111111111,21.05813392003377
st70,rank,order,scramble,1,0,75.55555555555556,0.428,19.57638955116272
st70,rank,order,scramble,0,1,79.95061728395062,0.5037777777777778,23.78407820065816
st70,rank,order,scramble,0,0,86.51851851851852,0.3454444444444444,16.273427327473957
eil101,tournament,pmx,swap,1,1,66.77265500794913,0.7799999999999999,45.38102984428406
eil101,tournament,pmx,swap,1,0,64.22893481717011,0.8642222222222222,50.201860427856445
eil101,tournament,pmx,swap,0,1,74.35082140964494,0.608,36.33223509788513
eil101,tournament,pmx,swap,0,0,78.37837837837839,0.6014444444444444,35.68781725565592
eil101,tournament,pmx,inversion,1,1,15.73926868044515,0.7051111111111111,40.87157360712687
eil101,tournament,pmx,inversion,1,0,10.969793322734498,0.782,45.14451217651367
eil101,tournament,pmx,inversion,0,1,23.476417594064653,0.5063333333333333,30.201687177022297
eil101,tournament,pmx,inversion,0,0,14.626391096979331,0.5673333333333334,33.73941286404928
eil101,tournament,pmx,scramble,1,1,162.53312135665078,0.6322222222222221,37.10769001642863
eil101,tournament,pmx,scramble,1,0,177.00052994170642,0.4801111111111111,28.130017518997192
eil101,tournament,pmx,scramble,0,1,168.30948595654476,0.5813333333333334,35.11009764671326
eil101,tournament,pmx,scramble,0,0,165.6597774244833,0.4675555555555555,28.150827487309773
eil101,tournament,order,swap,1,1,48.3836777954425,0.6346666666666666,42.89007576306661
eil101,tournament,order,swap,1,0,47.95972443031267,0.5876666666666667,39.70017234484354
